Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
41,OR-000041,08/04/2023,08/08/2023,Standard Class,CUST-0124,John Smith,Corporate,United States,New York,Ohio,11048,Central,PROD-0031,Technology,Computers,Tablet,17.17,1,0.23,2.35
42,OR-000042,06/21/2023,06/28/2023,Standard Class,CUST-0487,Alice Brown,Corporate,United States,New York,Texas,24670,Central,PROD-0059,Office Supplies,Binders,5-Ring Binder,2709.32,9,0.05,364.19
43,OR-000043,11/18/2023,11/24/2023,First Class,CUST-0392,George Martinez,Home Office,United States,New York,California,67539,West,PROD-0068,Office Supplies,Labels,Shipping Labels,2702.83,9,0.26,646.15
44,OR-000044,11/01/2023,11/02/2023,Standard Class,CUST-0498,Bob Johnson,Consumer,United States,New York,Florida,41958,South,PROD-0016,Office Supplies,Paper,Sticky Notes,1962.03,6,0.24,782.55
45,OR-000045,05/28/2023,06/01/2023,Standard Class,CUST-0328,Charlie Wilson,Consumer,United States,Chicago,Ohio,81888,Central,PROD-0070,Technology,Accessories,Webcam,436.45,5,0.07,119.83
46,OR-000046,06/01/2023,06/06/2023,Same Day,CUST-0484,John Smith,Corporate,United States,New York,New York,84260,East,PROD-0041,Technology,Copiers,Copier Machine,404.27,9,0.07,126.85
47,OR-000047,06/20/2023,06/22/2023,Second Class,CUST-0071,Jane Doe,Corporate,United States,Chicago,California,89416,West,PROD-0048,Technology,Copiers,Copier Machine,186.87,3,0.24,50.64
48,OR-000048,12/11/2023,12/15/2023,First Class,CUST-0219,John Smith,Consumer,United States,Houston,North Carolina,93227,South,PROD-0021,Office Supplies,Paper,Notebook,739.17,2,0.16,254.71
49,OR-000049,01/10/2023,01/12/2023,First Class,CUST-0075,Bob Johnson,Consumer,United States,Los Angeles,New York,12371,East,PROD-0006,Furniture,Tables,Dining Table,2247.92,6,0.02,595.45
50,OR-000050,04/30/2023,05/05/2023,Standard Class,CUST-0470,Edward Davis,Home Office,United States,New York,Massachusetts,12215,East,PROD-0066,Technology,Copiers,Copier Machine,168.52,1,0.06,18.73
51,OR-000051,06/17/2023,06/20/2023,Standard Class,CUST-0434,Diana Miller,Corporate,United States,New York,Illinois,22493,Central,PROD-0097,Technology,Computers,Laptop,1226.21,10,0.01,330.96
52,OR-000052,06/12/2023,06/16/2023,Second Class,CUST-0105,Bob Johnson,Consumer,United States,Los Angeles,Pennsylvania,90430,East,PROD-0034,Office Supplies,Binders,3-Ring Binder,1171.56,3,0.21,457.05
53,OR-000053,04/07/2023,04/08/2023,First Class,CUST-0250,Charlie Wilson,Corporate,United States,Los Angeles,California,93617,West,PROD-0010,Furniture,Tables,Coffee Table,2527.01,8,0.22,901.83
54,OR-000054,09/18/2023,09/20/2023,Same Day,CUST-0060,John Smith,Home Office,United States,Houston,Ohio,13101,Central,PROD-0094,Office Supplies,Storage,Storage Bin,307.02,6,0.09,76.17
55,OR-000055,09/20/2023,09/26/2023,Second Class,CUST-0382,Jane Doe,Consumer,United States,Los Angeles,Pennsylvania,83059,East,PROD-0078,Furniture,Furnishings,Product,3294.13,10,0.01,1252.58
56,OR-000056,08/29/2023,09/02/2023,Second Class,CUST-0090,Edward Davis,Home Office,United States,New York,Ohio,81396,Central,PROD-0062,Furniture,Bookcases,Corner Bookcase,1757.22,7,0.2,353.22
57,OR-000057,10/31/2023,11/04/2023,First Class,CUST-0410,Edward Davis,Home Office,United States,New York,Illinois,90183,Central,PROD-0080,Technology,Copiers,Copier Machine,1818.84,8,0.16,602.03
58,OR-000058,01/13/2023,01/18/2023,Standard Class,CUST-0178,Bob Johnson,Home Office,United States,Chicago,Oregon,41510,West,PROD-0083,Office Supplies,Storage,Storage Bin,175.7,1,0.07,66.64
59,OR-000059,10/24/2023,10/30/2023,Second Class,CUST-0359,Hannah Lee,Corporate,United States,New York,Georgia,58105,South,PROD-0087,Technology,Computers,Laptop,509.68,4,0.22,59.04
60,OR-000060,09/22/2023,09/28/2023,Standard Class,CUST-0298,George Martinez,Consumer,United States,Los Angeles,Florida,34315,South,PROD-0069,Furniture,Tables,Dining Table,151.9,5,0.03,33.6
61,OR-000061,05/19/2023,05/21/2023,First Class,CUST-0002,Jane Doe,Corporate,United States,Houston,Texas,75068,Central,PROD-0081,Furniture,Bookcases,Corner Bookcase,385.59,2,0.03,139.88
62,OR-000062,10/28/2023,11/02/2023,Second Class,CUST-0099,Fiona Garcia,Home Office,United States,Los Angeles,Oregon,28059,West,PROD-0083,Office Supplies,Paper,Sticky Notes,1053.92,3,0.25,189.57
63,OR-000063,01/26/2023,01/28/2023,First Class,CUST-0300,Diana Miller,Home Office,United States,Chicago,Georgia,97939,South,PROD-0100,Furniture,Tables,Conference Table,3008.24,8,0.03,473.39
64,OR-000064,07/06/2023,07/07/2023,Same Day,CUST-0001,Edward Davis,Corporate,United States,Los Angeles,North Carolina,51978,South,PROD-0086,Furniture,Tables,Dining Table,355.84,1,0.26,132.25
65,OR-000065,04/05/2023,04/10/2023,Second Class,CUST-0183,Charlie Wilson,Home Office,United States,New York,California,89090,West,PROD-0005,Office Supplies,Storage,File Box,941.64,4,0.25,132.25
66,OR-000066,01/30/2023,02/05/2023,Second Class,CUST-0108,Fiona Garcia,Home Office,United States,Chicago,Pennsylvania,91025,East,PROD-0047,Furniture,Tables,Coffee Table,1807.52,5,0.08,447.76
67,OR-000067,08/07/2023,08/14/2023,Standard Class,CUST-0383,George Martinez,Home Office,United States,Chicago,Ohio,42432,Central,PROD-0024,Furniture,Chairs,Conference Chair,417.96,5,0.28,167.15
68,OR-000068,01/24/2023,01/28/2023,Second Class,CUST-0088,Fiona Garcia,Home Office,United States,Houston,New York,13396,East,PROD-0025,Technology,Accessories,Keyboard,57.65,5,0.24,6.72
69,OR-000069,05/10/2023,05/17/2023,Standard Class,CUST-0105,Diana Miller,Consumer,United States,Los Angeles,California,83657,West,PROD-0071,Furniture,Tables,Dining Table,2128.94,6,0.07,415.28
70,OR-000070,01/22/2023,01/23/2023,Second Class,CUST-0315,Edward Davis,Corporate,United States,Houston,Massachusetts,45966,East,PROD-0089,Technology,Phones,Office Phone,28.36,1,0.13,8.88
71,OR-000071,07/22/2023,07/29/2023,First Class,CUST-0144,Jane Doe,Home Office,United States,Los Angeles,Pennsylvania,41365,East,PROD-0050,Office Supplies,Paper,Sticky Notes,2245.74,7,0.01,361.6
72,OR-000072,12/29/2023,01/03/2024,Standard Class,CUST-0365,Fiona Garcia,Consumer,United States,Chicago,Illinois,65733,Central,PROD-0056,Technology,Copiers,Copier Machine,2347.97,6,0.18,914.26
73,OR-000073,06/10/2023,06/11/2023,Standard Class,CUST-0283,Edward Davis,Home Office,United States,Houston,Georgia,66355,South,PROD-0091,Technology,Copiers,Copier Machine,377.06,1,0.21,93.4
74,OR-000074,08/28/2023,08/29/2023,Same Day,CUST-0212,Hannah Lee,Consumer,United States,Los Angeles,Massachusetts,57983,East,PROD-0068,Technology,Phones,Mobile Phone,1289.62,5,0.04,498.23
75,OR-000075,12/01/2023,12/06/2023,Second Class,CUST-0160,Diana Miller,Corporate,United States,Chicago,Florida,97036,South,PROD-0003,Technology,Accessories,Mouse,996.99,3,0.13,348.18
76,OR-000076,07/30/2023,08/05/2023,First Class,CUST-0286,Hannah Lee,Corporate,United States,Chicago,Florida,40673,South,PROD-0061,Office Supplies,Storage,File Box,64.06,3,0.14,10.9
77,OR-000077,06/02/2023,06/09/2023,Second Class,CUST-0023,Edward Davis,Consumer,United States,Houston,California,78041,West,PROD-0090,Technology,Accessories,Mouse,673.44,4,0.01,177.82
78,OR-000078,10/19/2023,10/22/2023,Second Class,CUST-0377,Alice Brown,Home Office,United States,New York,Ohio,22159,Central,PROD-0004,Furniture,Furnishings,Product,92.14,1,0.07,12.87
79,OR-000079,08/03/2023,08/04/2023,Standard Class,CUST-0131,Jane Doe,Home Office,United States,Los Angeles,Massachusetts,27818,East,PROD-0057,Technology,Accessories,Mouse,500.14,3,0.19,130.74
80,OR-000080,03/18/2023,03/19/2023,First Class,CUST-0384,Hannah Lee,Consumer,United States,Los Angeles,California,18704,West,PROD-0046,Technology,Accessories,Mouse,3707.97,9,0.13,923.86
81,OR-000081,02/07/2023,02/13/2023,First Class,CUST-0390,John Smith,Corporate,United States,New York,Florida,27982,South,PROD-0013,Furniture,Bookcases,Corner Bookcase,134.71,1,0.01,35.39
82,OR-000082,03/24/2023,03/26/2023,First Class,CUST-0093,Edward Davis,Consumer,United States,Los Angeles,Massachusetts,11156,East,PROD-0068,Office Supplies,Labels,Address Labels,289.96,8,0.29,112.94
83,OR-000083,06/30/2023,07/05/2023,First Class,CUST-0033,Fiona Garcia,Consumer,United States,Chicago,California,12011,West,PROD-0031,Office Supplies,Binders,3-Ring Binder,1465.14,9,0.23,242.26
84,OR-000084,07/29/2023,07/30/2023,Standard Class,CUST-0189,Edward Davis,Corporate,United States,Los Angeles,New York,61040,East,PROD-0010,Office Supplies,Binders,3-Ring Binder,699.7,9,0.25,205.43
85,OR-000085,09/15/2023,09/16/2023,Second Class,CUST-0221,Edward Davis,Home Office,United States,Los Angeles,New York,34523,East,PROD-0063,Furniture,Chairs,Executive Chair,488.67,4,0.17,86.57
86,OR-000086,11/03/2023,11/09/2023,Second Class,CUST-0102,Diana Miller,Home Office,United States,Los Angeles,Massachusetts,98038,East,PROD-0063,Technology,Accessories,Mouse,2233.45,7,0.11,359.45
87,OR-000087,09/20/2023,09/25/2023,Same Day,CUST-0136,George Martinez,Consumer,United States,New York,Illinois,93792,Central,PROD-0017,Furniture,Tables,Conference Table,1746.18,5,0.24,470.21
88,OR-000088,03/28/2023,04/03/2023,Second Class,CUST-0087,Jane Doe,Home Office,United States,New York,Oregon,59880,West,PROD-0027,Technology,Phones,Mobile Phone,1246.82,8,0.19,176.14
89,OR-000089,09/16/2023,09/21/2023,Standard Class,CUST-0418,George Martinez,Consumer,United States,Houston,Washington,95712,West,PROD-0017,Technology,Phones,Mobile Phone,1198.21,7,0.28,450.74
90,OR-000090,08/24/2023,08/28/2023,Same Day,CUST-0082,Edward Davis,Home Office,United States,Chicago,Pennsylvania,15748,East,PROD-0099,Technology,Phones,Office Phone,1222.88,7,0.25,189.74
91,OR-000091,06/25/2023,06/29/2023,Standard Class,CUST-0418,Bob Johnson,Home Office,United States,New York,Massachusetts,60524,East,PROD-0089,Furniture,Bookcases,Standard Bookcase,1179.21,7,0.28,118.04
92,OR-000092,05/27/2023,05/30/2023,Standard Class,CUST-0206,Jane Doe,Corporate,United States,Chicago,Texas,92952,Central,PROD-0091,Technology,Copiers,Copier Machine,162.8,3,0.29,55.4
93,OR-000093,12/19/2023,12/22/2023,First Class,CUST-0446,Edward Davis,Consumer,United States,Los Angeles,North Carolina,54959,South,PROD-0083,Technology,Accessories,Keyboard,1700.26,8,0.13,546.82
94,OR-000094,03/21/2023,03/23/2023,Second Class,CUST-0038,Alice Brown,Consumer,United States,Houston,Pennsylvania,10517,East,PROD-0026,Furniture,Chairs,Conference Chair,112.5,1,0.26,29.59
95,OR-000095,01/06/2023,01/10/2023,Standard Class,CUST-0205,Fiona Garcia,Corporate,United States,Chicago,Washington,90050,West,PROD-0074,Office Supplies,Paper,Copy Paper,1561.1,8,0.02,178.35
96,OR-000096,01/12/2023,01/17/2023,Same Day,CUST-0320,Charlie Wilson,Consumer,United States,New York,New York,28925,East,PROD-0073,Furniture,Chairs,Ergonomic Chair,1504.81,8,0.07,256.75
97,OR-000097,05/14/2023,05/20/2023,Same Day,CUST-0288,Charlie Wilson,Corporate,United States,Chicago,Massachusetts,63930,East,PROD-0077,Furniture,Chairs,Conference Chair,2069.93,9,0.16,797.15
98,OR-000098,08/08/2023,08/11/2023,Same Day,CUST-0186,John Smith,Corporate,United States,Los Angeles,Ohio,29649,Central,PROD-0032,Technology,Phones,Mobile Phone,740.72,5,0.06,98.59
99,OR-000099,11/22/2023,11/28/2023,Standard Class,CUST-0346,Jane Doe,Consumer,United States,Los Angeles,Washington,75121,West,PROD-0074,Office Supplies,Storage,File Box,1469.07,5,0.18,342.5
100,OR-000100,08/02/2023,08/03/2023,Same Day,CUST-0077,Jane Doe,Corporate,United States,Houston,North Carolina,81843,South,PROD-0008,Technology,Phones,Office Phone,555.97,2,0.28,100.73
101,OR-000101,02/28/2023,03/07/2023,Same Day,CUST-0254,Edward Davis,Home Office,United States,New York,Florida,27559,South,PROD-0025,Office Supplies,Storage,Storage Bin,405.2,2,0.16,105.65
102,OR-000102,07/31/2023,08/03/2023,Standard Class,CUST-0341,Diana Miller,Home Office,United States,Chicago,Pennsylvania,80410,East,PROD-0087,Office Supplies,Paper,Notebook,933.45,7,0.0,212.11
103,OR-000103,09/06/2023,09/11/2023,Standard Class,CUST-0326,Jane Doe,Home Office,United States,New York,California,91018,West,PROD-0061,Office Supplies,Binders,5-Ring Binder,487.65,7,0.27,71.47
104,OR-000104,12/30/2023,12/31/2023,Same Day,CUST-0438,Jane Doe,Corporate,United States,Chicago,Texas,81326,Central,PROD-0055,Technology,Copiers,Copier Machine,1660.75,9,0.2,481.92
105,OR-000105,01/24/2023,01/29/2023,Standard Class,CUST-0238,George Martinez,Consumer,United States,Houston,Washington,37920,West,PROD-0069,Office Supplies,Storage,Storage Bin,594.16,6,0.21,170.95
106,OR-000106,12/06/2023,12/11/2023,Standard Class,CUST-0089,Diana Miller,Consumer,United States,Houston,Pennsylvania,52994,East,PROD-0007,Technology,Accessories,Keyboard,1234.49,6,0.17,159.31
107,OR-000107,05/16/2023,05/17/2023,Second Class,CUST-0156,George Martinez,Corporate,United States,New York,New York,49051,East,PROD-0024,Office Supplies,Labels,Address Labels,4038.21,9,0.06,1193.57
108,OR-000108,11/17/2023,11/24/2023,Same Day,CUST-0199,Diana Miller,Corporate,United States,Chicago,New York,74753,East,PROD-0040,Office Supplies,Binders,3-Ring Binder,2225.04,9,0.12,853.52
109,OR-000109,06/17/2023,06/23/2023,Second Class,CUST-0306,Edward Davis,Home Office,United States,Los Angeles,Massachusetts,58299,East,PROD-0092,Technology,Copiers,Copier Machine,2460.83,6,0.16,576.22
110,OR-000110,10/30/2023,11/01/2023,Standard Class,CUST-0329,Fiona Garcia,Corporate,United States,Houston,Ohio,37934,Central,PROD-0019,Technology,Copiers,Copier Machine,2051.05,7,0.22,322.44
111,OR-000111,04/07/2023,04/09/2023,Standard Class,CUST-0147,George Martinez,Corporate,United States,Houston,Pennsylvania,98834,East,PROD-0028,Office Supplies,Storage,File Box,1598.25,4,0.17,337.05
112,OR-000112,10/05/2023,10/12/2023,Same Day,CUST-0251,George Martinez,Home Office,United States,New York,Georgia,25541,South,PROD-0026,Furniture,Furnishings,Product,301.25,1,0.27,99.53
113,OR-000113,02/14/2023,02/19/2023,First Class,CUST-0164,George Martinez,Corporate,United States,Houston,Texas,83900,Central,PROD-0033,Furniture,Tables,Coffee Table,798.18,3,0.16,233.33
114,OR-000114,05/09/2023,05/12/2023,Same Day,CUST-0195,John Smith,Home Office,United States,New York,Illinois,36913,Central,PROD-0038,Office Supplies,Paper,Notebook,58.16,1,0.0,19.06
115,OR-000115,06/05/2023,06/08/2023,Standard Class,CUST-0183,Jane Doe,Consumer,United States,Houston,Oregon,50172,West,PROD-0001,Office Supplies,Storage,Storage Bin,88.12,4,0.26,15.78
116,OR-000116,03/15/2023,03/18/2023,First Class,CUST-0059,Hannah Lee,Corporate,United States,New York,Florida,72634,South,PROD-0092,Technology,Phones,Mobile Phone,1481.82,10,0.18,443.41
117,OR-000117,12/27/2023,01/03/2024,Same Day,CUST-0042,Diana Miller,Home Office,United States,Houston,Washington,37924,West,PROD-0014,Technology,Copiers,Copier Machine,451.53,3,0.25,45.59
118,OR-000118,01/11/2023,01/12/2023,Same Day,CUST-0228,George Martinez,Corporate,United States,Houston,Florida,86905,South,PROD-0022,Technology,Accessories,Webcam,792.72,3,0.2,231.86
119,OR-000119,07/13/2023,07/14/2023,Second Class,CUST-0072,Charlie Wilson,Home Office,United States,Chicago,North Carolina,90475,South,PROD-0041,Furniture,Chairs,Ergonomic Chair,190.6,1,0.15,67.63
120,OR-000120,11/07/2023,11/10/2023,Standard Class,CUST-0434,Fiona Garcia,Corporate,United States,Chicago,Illinois,91892,Central,PROD-0098,Office Supplies,Labels,Shipping Labels,258.1,4,0.29,44.3
121,OR-000121,05/30/2023,06/01/2023,Same Day,CUST-0157,Fiona Garcia,Home Office,United States,Chicago,New York,47125,East,PROD-0062,Office Supplies,Paper,Copy Paper,472.51,4,0.07,51.29
122,OR-000122,09/12/2023,09/13/2023,Second Class,CUST-0085,Bob Johnson,Corporate,United States,Los Angeles,North Carolina,94320,South,PROD-0061,Technology,Copiers,Copier Machine,919.51,7,0.16,252.09
123,OR-000123,05/09/2023,05/13/2023,Standard Class,CUST-0180,Alice Brown,Consumer,United States,Chicago,Pennsylvania,41293,East,PROD-0018,Furniture,Tables,Coffee Table,731.28,3,0.23,194.1
124,OR-000124,08/13/2023,08/16/2023,First Class,CUST-0075,Hannah Lee,Home Office,United States,Los Angeles,Florida,24888,South,PROD-0047,Office Supplies,Binders,3-Ring Binder,2179.7,9,0.04,693.13
125,OR-000125,03/30/2023,04/04/2023,First Class,CUST-0378,Edward Davis,Consumer,United States,Los Angeles,Washington,89125,West,PROD-0086,Office Supplies,Storage,File Box,172.07,2,0.02,36.89
126,OR-000126,03/25/2023,03/27/2023,Same Day,CUST-0242,John Smith,Consumer,United States,Los Angeles,New York,95325,East,PROD-0069,Technology,Computers,Desktop,1337.38,4,0.16,140.65
127,OR-000127,03/07/2023,03/12/2023,Standard Class,CUST-0414,Charlie Wilson,Corporate,United States,Houston,California,92435,West,PROD-0014,Office Supplies,Binders,5-Ring Binder,403.69,1,0.19,110.83
128,OR-000128,11/05/2023,11/08/2023,Second Class,CUST-0444,Charlie Wilson,Consumer,United States,Los Angeles,Florida,23184,South,PROD-0055,Office Supplies,Binders,3-Ring Binder,459.24,7,0.28,74.2
129,OR-000129,07/14/2023,07/18/2023,Second Class,CUST-0094,Bob Johnson,Home Office,United States,New York,New York,78647,East,PROD-0079,Furniture,Furnishings,Product,3656.95,10,0.18,534.69
130,OR-000130,10/26/2023,10/27/2023,Standard Class,CUST-0105,Charlie Wilson,Home Office,United States,Los Angeles,Ohio,73819,Central,PROD-0073,Furniture,Chairs,Executive Chair,641.52,9,0.09,201.53
131,OR-000131,05/08/2023,05/10/2023,Same Day,CUST-0244,Hannah Lee,Home Office,United States,Los Angeles,Illinois,73551,Central,PROD-0048,Office Supplies,Storage,File Box,735.59,5,0.08,275.31
132,OR-000132,04/07/2023,04/12/2023,Standard Class,CUST-0054,Edward Davis,Corporate,United States,Chicago,Texas,44538,Central,PROD-0026,Office Supplies,Paper,Copy Paper,505.1,7,0.23,156.84
133,OR-000133,06/10/2023,06/12/2023,Second Class,CUST-0470,Hannah Lee,Home Office,United States,Chicago,Texas,50822,Central,PROD-0077,Office Supplies,Binders,5-Ring Binder,273.59,5,0.09,39.56
134,OR-000134,07/23/2023,07/24/2023,Same Day,CUST-0113,Charlie Wilson,Consumer,United States,Chicago,California,14487,West,PROD-0001,Office Supplies,Paper,Sticky Notes,399.05,5,0.08,159.01
